512
0.5500092955534157 0.7871957555534158 0.6013792559928284 | 0.0 -0.49800000000000005 0.0
0.5500213468910403 0.7872078068910404 0.6614307980644231 | 0.0 -0.49800000000000005 0.0
0.6007837570889485 0.7871992109515851 0.2890114900758156 | 0.0 -0.49800000000000005 0.0
0.6011231518603535 0.7871865257121411 0.3488768481396463 | 0.0 -0.49800000000000005 0.0
0.6013792559928284 0.7871957555534158 0.3999907044465846 | 0.0 -0.49800000000000005 0.0
0.6014048156518977 0.7872085296216461 0.4500021751202383 | 0.0 -0.49800000000000005 0.0
0.6014048156518976 0.7872085296216461 0.49999782487976163 | 0.0 -0.49800000000000005 0.0
0.6013792559928284 0.7871957555534158 0.5500092955534157 | 0.0 -0.49800000000000005 0.0
0.6011231518603535 0.7871865257121411 0.6011231518603535 | 0.0 -0.49800000000000005 0.0
0.6007837570889485 0.7871992109515851 0.6609885099241847 | 0.0 -0.49800000000000005 0.0
0.6590482942157203 0.7872022984668531 0.2909517057842797 | 0.0 -0.49800000000000005 0.0
0.6609885099241847 0.787199210951585 0.34921624291105163 | 0.0 -0.49800000000000005 0.0
0.6614307980644231 0.7872078068910404 0.3999786531089593 | 0.0 -0.49800000000000005 0.0
0.661448088005113 0.7872164218132908 0.45000081951960147 | 0.0 -0.49800000000000005 0.0
0.661448088005113 0.7872164218132908 0.4999991804803985 | 0.0 -0.49800000000000005 0.0
0.6614307980644231 0.7872078068910404 0.5500213468910403 | 0.0 -0.49800000000000005 0.0
0.6609885099241847 0.7871992109515851 0.6007837570889485 | 0.0 -0.49800000000000005 0.0
0.6590482942157203 0.7872022984668531 0.6590482942157203 | 0.0 -0.49800000000000005 0.0
0.2909432774375053 0.7371864174597687 0.2909432774375053 | 0.0 -0.49800000000000005 0.0
0.28900032406678 0.7371861204111705 0.349202904747273 | 0.0 -0.49800000000000005 0.0
0.2885519119948869 0.7371856404803985 0.3999700381867096 | 0.0 -0.49800000000000005 0.0
0.2885313087988777 0.7371858534677408 0.4500006065322593 | 0.0 -0.49800000000000005 0.0
0.28853130879887773 0.7371858534677408 0.49999939346774075 | 0.0 -0.49800000000000005 0.0
0.2885519119948869 0.7371856404803985 0.5500299618132907 | 0.0 -0.49800000000000005 0.0
0.28900032406678 0.7371861204111705 0.600797095252727 | 0.0 -0.49800000000000005 0.0
0.2909432774375053 0.7371864174597687 0.6590567225624947 | 0.0 -0.49800000000000005 0.0
0.349202904747273 0.7371861204111705 0.28900032406678 | 0.0 -0.49800000000000005 0.0
0.3488572608021774 0.7371854577859289 0.3488572608021774 | 0.0 -0.49800000000000005 0.0
0.3485951843481023 0.7371842848797618 0.3999779303783535 | 0.0 -0.49800000000000005 0.0
0.34856669810652263 0.7371844928633929 0.4500019671366071 | 0.0 -0.49800000000000005 0.0
0.34856669810652263 0.7371844928633929 0.49999803286339284 | 0.0 -0.49800000000000005 0.0
0.3485951843481023 0.7371842848797618 0.550022069621646 | 0.0 -0.49800000000000005 0.0
0.3488572608021774 0.7371854577859289 0.6011427391978228 | 0.0 -0.49800000000000005 0.0
0.349202904747273 0.7371861204111705 0.6609996759332195 | 0.0 -0.49800000000000005 0.0
0.3999700381867096 0.7371856404803985 0.2885519119948869 | 0.0 -0.49800000000000005 0.0
0.3999779303783535 0.7371842848797618 0.3485951843481023 | 0.0 -0.49800000000000005 0.0
0.39996212272648046 0.7371825986454761 0.39996212272648046 | 0.0 -0.49800000000000005 0.0
0.39994538097953736 0.7371828644815497 0.45000359551845054 | 0.0 -0.49800000000000005 0.0
0.39994538097953736 0.7371828644815497 0.4999964044815496 | 0.0 -0.49800000000000005 0.0
0.39996212272648046 0.7371825986454761 0.5500378772735194 | 0.0 -0.49800000000000005 0.0
